title,author,rating,publication_date
Masterpieces: The Best Science Fiction of the Twentieth Century,Orson Scott Card/Isaac Asimov/William Gibson/Michael Swanwick/Theodore Sturgeon/Larry Niven/Robert Silverberg/Harry Turtledove/James Blish/George R.R. Martin/James Patrick Kelly/Karen Joy Fowler/Arthur C. Clarke/Lloyd Biggle Jr./Terry Bisson/Poul Anderson/John Kessel/R.A. Lafferty/C.J. Cherryh/Lisa Goldstein/Edmond Hamilton/Robert A. Heinlein/Ursula K. Le Guin/Ray Bradbury/Frederik Pohl/Harlan Ellison/George Alec Effinger/Brian W. Aldiss,4.21,03/02/04
Earthborn (Homecoming Saga #5),Orson Scott Card,3.41,05/01/95
First Meetings: In the Enderverse,Orson Scott Card,3.84,03/01/13
Wyrms,Orson Scott Card,3.38,04/05/03
The Abyss,Orson Scott Card/James Francis Cameron,4.07,10/05/89
Shadow Puppets (Shadow Series  #3),Orson Scott Card,3.89,08/19/02
Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,3.97,03/01/16
This Is the Way the World Ends,James K. Morrow,3.75,04/24/95
Galapagos: World's End,William Beebe,3.84,05/01/88
The Well At The World's End: Volume I,William Morris/Lin Carter,3.81,03/20/00
The Well at the World's End: Volume II,William Morris,3.9,03/20/00
Lost Boys,Orson Scott Card,3.59,07/10/94
The Worthing Saga (Worthing  #1-3),Orson Scott Card,3.85,12/15/92
The Rocky Road to Romance (Elsie Hawkins #4),Janet Evanovich,3.67,11/29/11
Love Overboard,Janet Evanovich,3.65,02/01/05
Back to the Bedroom (Elsie Hawkins #1),Janet Evanovich,3.68,02/25/14
More Plums in One (Stephanie Plum  #4-6),Janet Evanovich,4.45,04/03/07
Full Blast (Full #4),Janet Evanovich/Charlotte Hughes,3.83,04/19/04
Metro Girl (Alex Barnaby  #1),Janet Evanovich,3.62,09/27/05
To the Nines (Stephanie Plum  #9),Janet Evanovich,4.17,06/05/04
Full Speed (Full  #3),Janet Evanovich/Charlotte Hughes,3.83,11/03/03
Love Overboard,Janet Evanovich/C.J. Critt,3.65,01/25/05
The Rocky Road to Romance (Elsie Hawkins  #4),Janet Evanovich/C.J. Critt,3.67,08/31/04
Two for the Dough (Stephanie Plum  #2),Janet Evanovich,4.11,06/29/07
The Full Box (Full  #1-4),Janet Evanovich/Charlotte Hughes,4.29,02/16/16
Hard Eight (Stephanie Plum  #8),Janet Evanovich,4.17,06/23/03
Hot Six (Stephanie Plum  #6),Janet Evanovich,4.19,06/01/01
Metro Girl (Alex Barnaby  #1),Janet Evanovich/C.J. Critt,3.62,07/25/06
Martian Time-Slip,Philip K. Dick,3.77,07/08/99
The Martians (Mars Trilogy  #3.5),Kim Stanley Robinson,3.56,10/03/00
Pirates of Venus (Venus  #1),Edgar Rice Burroughs/Thomas Floyd/F. Paul Wilson/Phillip R. Burger,3.7,09/01/01
Swords of Mars (Barsoom  #8),Edgar Rice Burroughs,3.82,07/12/79
The Chessmen of Mars (Barsoom #5),Edgar Rice Burroughs/John Bolen,3.83,01/01/05
The Warlord of Mars (Barsoom  #3),Edgar Rice Burroughs/John Bolen,3.86,02/01/01
Synthetic Men of Mars (Barsoom  #9),Edgar Rice Burroughs,3.78,01/12/80
The Master Mind of Mars (Barsoom #6),Edgar Rice Burroughs,3.85,04/12/79
A Fighting Man of Mars (Barsoom  #7),Edgar Rice Burroughs,3.84,10/12/84
Thuvia  Maid of Mars (Barsoom  #4),Edgar Rice Burroughs,3.75,07/12/86
John Carter of Mars (Barsoom #11),Edgar Rice Burroughs,3.82,07/12/85
A Princess of Mars (Barsoom  #1),Edgar Rice Burroughs/John Seelye,3.81,01/30/07
Escape on Venus (Venus  #4),Edgar Rice Burroughs,3.7,06/15/91
Tarzan of the Apes: Tarzan of the Apes/The Son of Tarzan/Tarzan at the Earth's Core/Tarzan Triumphant,Edgar Rice Burroughs/Esteban Maroto/J. Allen St. John/Studley Burroughs,4.14,11/30/88
Tarzan of the Apes (Tarzan  #1),Edgar Rice Burroughs,3.9,09/01/03
The Five People You Meet in Heaven,Mitch Albom,3.93,09/02/05
Murder in the Bastille (Aimee Leduc Investigations  #4),Cara Black,3.73,04/01/04
The Thirteenth Tale,Diane Setterfield,3.96,09/12/06
Market Forces,Richard K. Morgan,3.59,03/01/05
Black Widow: The Things They Say About Her,Richard K. Morgan/Bill Sienkiewicz/Sean Phillips,3.47,06/07/06
Black Widow: Homecoming,Richard K. Morgan/Bill Sienkiewicz/Goran Parlov,3.79,05/11/05
Ragtime,E.L. Doctorow,3.88,03/01/77
Ragtime in Simla (Joe Sandilands  #2),Barbara Cleverly,3.84,07/25/06
Thank You for Smoking,Christopher Buckley,3.93,02/14/06
The Crossing,Cormac McCarthy,4.13,04/28/96
Cities of the Plain (The Border Trilogy  #3),Cormac McCarthy,4.09,05/25/99
The Agony and the Ecstasy: A Biographical Novel of Michelangelo,Irving Stone,4.07,09/07/04
The Agony and the Ecstasy,Irving Stone,4.07,01/01/91
Harvest,Tess Gerritsen,4.11,08/01/97
Story of O (Story of O #1),Pauline Réage/Sabine d'Estree,3.32,05/12/81
Story of O,Pauline Réage/John Paul Hand,3.32,05/08/98
The O. Henry Prize Stories 2003,Laura Furman/David Guterson/Diane Johnson/Jennifer Egan,3.78,09/09/03
The Illustrated Story Of O,Doris Kloster/Pauline Réage,3.96,09/20/01
The Valley of Vision: A Collection of Puritan Prayers and Devotions,Arthur Bennett,4.54,11/01/75
Valley Of Silence (Circle Trilogy  #3),Nora Roberts,4.22,11/01/06
Revolution in The Valley: The Insanely Great Story of How the Mac Was Made,Andy Hertzfeld/Steve Wozniak,4.18,12/16/04
The Valley of Horses (Earth's Children  #2),Jean M. Auel,4,06/25/02
How Green Was My Valley,Richard Llewellyn,4.18,06/28/01
Once A Warrior King: Memories of an Officer in Vietnam,David Donovan,4.27,07/12/86
Once a Warrior (Warriors  #1),Karyn Monk,3.75,03/31/97
Time and Again (Time  #1),Jack Finney,3.96,05/01/12
Time and Again (Time Travel #1-2),Nora Roberts,3.77,03/28/06
Time and Again: Time Was / Times Change,Nora Roberts,3.77,08/24/01
Meeting Jesus Again for the First Time: The Historical Jesus and the Heart of Contemporary Faith,Marcus J. Borg,4.12,04/07/15
Reading the Bible Again for the First Time: Taking the Bible Seriously but Not Literally,Marcus J. Borg,4.13,04/07/15
The Complete Idiot's Guide to Business Plans,Gwen Moran,3.32,10/04/05
PHP and MySQL Web Development (Developer's Library),Luke Welling/Laura Thomson,3.96,10/01/04
Beginning PHP and MySQL 5: From Novice to Professional,W. Jason Gilmore,3.72,10/01/05
PHP & MySQL For Dummies,Janet Valade,3.55,12/01/06
PHP and MySQL for Dummies,Janet Valade,3.55,04/09/04
Graphic Design Now,Charlotte Fiell/Peter Fiell,3.43,11/01/05
Michael Moore's Fahrenheit 9/11: How One Film Divided a Nation,Robert Brent Toplin,3.44,04/20/06
My Dirty Thirties: Romantic Hedonism,Kelly  Carr,3,07/01/04
The Life and Opinions of Tristram Shandy  Gentleman,Laurence Sterne/Robert Folkenflik,3.74,09/21/04
La fortaleza digital,Dan Brown/Eduardo García Murillo,3.65,02/01/06
The United States of Europe: The New Superpower and the End of American Supremacy,T.R. Reid,3.62,11/01/05
Europe on a Shoestring,Sarah Johnstone/Aaron Anderson/Sarah  Andrews/Lonely Planet,4.05,03/01/07
Europe and the People Without History,Eric R. Wolf,4.12,12/03/82
A History of Modern Europe  Volume 2: From the French Revolution to the Present,John M. Merriman,4,02/01/04
How Europe Underdeveloped Africa,Walter Rodney/Vincent Harding,4.27,01/01/81
Europe: A History,Norman Davies,4.17,01/20/98
The Basketball Diaries,Jim Carroll,3.95,04/01/95
The Basketball Diaries and the Book of Nods,Jim Carroll,4.25,05/26/87
The 10 Commandments of Parenting: The Do's and Don'ts for Raising Great Kids,Ed  Young,4,09/01/05
Unsung Heroes Of Rock 'n' Roll: The Birth Of Rock In The Wild Years Before Elvis,Nick Tosches,4.11,05/07/99
In the Hand of Dante,Nick Tosches,3.18,09/01/03
Ray Bradbury's Fahrenheit 451,Harold Bloom,4.18,12/31/01
Schott's Original Miscellany,Ben Schott/Collin Deckerman,4.08,08/04/03
Mind Over Money: How to Match Your Emotional Style to a Winning Financial Strategy,John W. Schott/Jean S. Arbeiter,2.67,01/01/98
Blowback (Scot Harvath  #4),Brad Thor,4.18,06/01/06
The Sorrows of Empire: Militarism  Secrecy  and the End of the Republic,Chalmers Johnson/Shara Kay,4.13,04/01/05
Bouvard and Pecuchet,Gustave Flaubert/Αχιλλέας Κυριακίδης/Mark Polizzotti/Raymond Queneau,3.86,03/28/06
Voyage of the Turtle: In Pursuit of the Earth's Last Dinosaur,Carl Safina,4.24,05/30/06
Thirteen Moons on Turtle's Back,Joseph Bruchac/Jonathan London/Thomas Locker,4.08,08/25/97
One Tiny Turtle,Nicola Davies/Jane Chapman,4.13,06/14/05
Turtle Island,Gary Snyder/Michael Corr,4.09,01/17/74
Turtles  Termites  and Traffic Jams: Explorations in Massively Parallel Microworlds,Mitchel Resnick,3.86,01/22/97
Turtle Moon,Alice Hoffman,3.83,04/04/02
Aquatic Turtles: Sliders  Cooters  Painted  and Map Turtles,Richard D. Bartlett/Patricia P. Bartlett,3.8,02/01/03
Turtles & Tortoises for Dummies,Liz Palika,3.57,03/15/01
The Turtle and the Monkey,Paul Galdone/Joanna Galdone,3.74,09/24/90
Turtle Diary,Russell Hoban,4,09/04/00
Lessons from Turtle Island: Native Curriculum in Early Childhood Classrooms,Guy W. Jones/Sally Moomaw,4.35,09/01/02
Inside Himalaya,Basil Pao/Michael Palin,4,01/31/05
Youth in Revolt: The Journals of Nick Twisp : Volumes I  II  III/Youth in Revolt/Youth in Bondage/Youth in Exile,C.D. Payne,4.04,08/01/93
The Demon Princes  Volume One: The Star King  The Killing Machine  The Palace of Love,Jack Vance,4.25,04/15/97
Lurulu,Jack Vance,3.59,02/06/07
Lyonesse: Suldrun's Garden (Lyonesse  #1),Jack Vance,3.93,04/01/83
Jack Vance: Critical Appreciations and a Bibliography,A.E. Cunningham/Harlan Ellison/Charles F. Miller/Terry Dowling/Paul Rhoads/Jack Vance/Tom Shippey/Gene Wolfe/David Langford/Dan Simmons/David Mathew,4.15,01/01/00
Galactic Effectuator,Jack Vance,3.69,11/01/81
The SFWA Grand Masters 3,Frederik Pohl/Lester del Rey/Damon Knight/A.E. van Vogt/Jack Vance,4.02,06/23/01
The Languages of Pao,Jack Vance,3.8,08/01/04
The Last Castle,Jack Vance,3.79,01/01/86
Madouc (Lyonesse  #3),Jack Vance,4.15,08/01/91
Ports of Call,Jack Vance,3.55,01/15/99
The Demon Princes  Volume Two: The Face  The Book of Dreams,Jack Vance,4.3,08/15/97
The Green Pearl (Lyonesse  #2),Jack Vance,4.16,06/15/87
The Last Castle/Nightwings (Tor Double Novel #15),Jack Vance/Robert Silverberg,3.7,12/01/89
The Many Worlds of Magnus Ridolph,Jack Vance,3.9,04/01/80
Big Dead Place: Inside the Strange and Menacing World of Antarctica,Nicholas Johnson/Eirik Sonneland,3.72,06/01/05
Best Science Fiction Stories of Clifford D. Simak,Clifford D. Simak,3.94,06/01/72
Theodore Rex,Edmund Morris,4.19,10/01/02
Oedipus Tyrannus,Sophocles/Theodore F. Brunner/Luci Berkowitz,3.7,07/01/70
The Rise of Theodore Roosevelt,Edmund Morris,4.23,11/20/01
The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,John Gribbin,4.08,08/10/04
A History of the Life Sciences,Lois N. Magner/Magner,4.53,08/13/02
The Art of Innovation: Lessons in Creativity from IDEO  America's Leading Design Firm,Tom Kelley/Jonathan Littman/Tom Peters,3.97,01/16/01
Absolute Trust in the Goodness of the Earth: New Poems,Alice Walker,4.02,03/09/04
I Sold My Soul on Ebay: Viewing Faith Through an Atheist's Eyes,Hemant Mehta/Rob Bell,3.54,04/17/07
Shadow & Claw (The Book of the New Sun #1-2),Gene Wolfe,4.02,10/15/94
Sword & Citadel (The Book of the New Sun #3-4),Gene Wolfe,4.32,10/15/94
The Wizard (The Wizard Knight #2),Gene Wolfe,3.86,08/29/06
Soldier of Sidon (Latro #3),Gene Wolfe,4.01,10/31/06
The Right Stuff,Tom Wolfe,4.24,05/01/05
Wild Fire (The Hot Zone  #3),Debra Cowan,3.86,01/31/06
The Best American Mystery Stories 2004,Nelson DeMille/Otto Penzler,3.55,10/14/04
Day and Night,Better Homes and Gardens,0,03/01/89
Romanticism,Hugh Honour,3.75,08/15/79
No Cherubs for Melanie,James  Hawkins,4,10/01/02
The Fish Kisser,James  Hawkins,3.4,11/01/01
Street of the Five Moons (Vicky Bliss  #2),Elizabeth Peters,3.95,03/07/00
Stand on Zanzibar,John Brunner,3.96,08/12/99
The Shockwave Rider,John Brunner,3.95,03/01/95
Study Guide to Accompany Brunner and Suddarth's Textbook of Medical-Surgical Nursing,Suzanne C. O'Connell Smeltzer/Brenda G. Bare/Mary Jo Boyer,4,12/21/99
Natural Theology: Comprising Nature & Grace by Professor Dr Emil Brunner & the Reply No! by Dr Karl Barth,Karl Barth/Emil Brunner/Peter Fraenkel,3.72,12/01/02
Children of the Thunder / The Tides of Time / The Crucible of Time,John Brunner,2.92,05/03/95
The Sheep Look Up,John Brunner/James John Bell/David Brin,3.95,05/11/03
Entry to Elsewhen,John Brunner,3.37,02/28/75
The Crucible of Time,John Brunner,3.71,06/12/84
Polymath (Zarathustra Refugee Planets  #2),John Brunner,3.56,08/28/82
Total Eclipse,John Brunner,3.44,02/07/84
Manshape,John Brunner,3.11,09/28/82
Modern Classics of Science Fiction,Gardner Dozois/Damon Knight/R.A. Lafferty/Samuel R. Delany/Brian W. Aldiss/Gene Wolfe/Joanna Russ/James Tiptree Jr./Ursula K. Le Guin/Edward Bryant/Howard Waldrop/Jack Dann/L. Sprague de Camp/Lucius Shepard/Pat Cadigan/John Kessel/William Gibson/Connie Willis/Michael Swanwick/Bruce Sterling/Theodore Sturgeon/Richard McKenna/Cordwainer Smith/Jack Vance/Edgar Pangborn/Keith Roberts/Roger Zelazny,4.17,01/15/93
The Mammoth Book of Golden Age Science Fiction: Ten Classic Stories from the Birth of Modern Science Fiction Writing,Isaac Asimov/Charles G. Waugh,3.93,01/24/07
Unearthly Neighbors,Chad Oliver,3.83,09/05/84
The Shores of Another Sea (Classics of Modern Science Fiction 3),Chad Oliver/George Zebrowski/Isaac Asimov,3.55,07/25/84
Men  Martians and Machines,Eric Frank Russell/George Zebrowski/Isaac Asimov,3.77,02/01/84
What are the Seven Wonders of the World?: And 100 Other Great Cultural Lists—Fully Explicated,Peter D'Epiro/Mary Desmond Pinkowish,3.77,12/01/98
World of Wonders (The Deptford Trilogy  #3),Robertson Davies/Wayne Johnston,4.09,02/28/06
Wonder of the World,David Lindsay-Abaire,3.93,12/31/03
Worlds of Wonder: How to Write Science Fiction & Fantasy,David Gerrold,3.92,04/01/04
Walking the World in Wonder: A Children's Herbal,Ellen Evert Hopman/Steven Foster,4.29,10/01/00
Worlds of Wonder,Terry Pastor/Damon Knight/Philip K. Dick/C.M. Kornbluth/Bob Shaw/Frederik Pohl/Alfred Bester/C.L. Moore/Henry Kuttner/Robert Sheckley/James Blish/Cordwainer Smith/Brian W. Aldiss/Jack Vance,4.13,11/10/88
Sixty Days and Counting (Science in the Capital  #3),Kim Stanley Robinson,3.66,02/27/07
Fifty Degrees Below (Science in the Capital  #2),Kim Stanley Robinson,3.69,01/30/07
The Gold Coast (Three Californias Triptych  #2),Kim Stanley Robinson,3.7,05/15/95
Antarctica,Kim Stanley Robinson,3.78,07/06/99
The Wild Shore (Three Californias Triptych  #1),Kim Stanley Robinson,3.75,03/15/95
Forty Signs of Rain (Science in the Capital #1),Kim Stanley Robinson,3.54,07/26/05
Pacific Edge (Three Californias Triptych  #3),Kim Stanley Robinson,3.78,05/15/95
The Memory of Whiteness: A Scientific Romance,Kim Stanley Robinson,3.55,01/15/96
Les Fils des ténèbres,Dan Simmons,3.71,10/01/07
Secret Identity (Lost  #2),Catherine Hapka,2.93,01/01/06
Miracleman  Book Three: Olympus,Alan Moore/John Totleben/Steve Oliff/Joe Caramagna/Michael Kelleher/Peter Milligan/Mike Allred,4.39,04/21/15
A Thousand Acres,Jane Smiley,3.81,12/02/03
Mother's Milk,Edward St. Aubyn,3.76,11/09/06
From a Limestone Ledge: Some Essays and Other Ruminations about Country Life in Texas,John Graves/Glenn Wolff/Bill Wittliff,4.31,05/19/04
Possession,A.S. Byatt,3.89,10/01/91
The Best American Nonrequired Reading 2004,Dave Eggers/Viggo Mortensen,3.86,10/14/04
The Culture of Fear: Why Americans Are Afraid of the Wrong Things,Barry Glassner,3.7,03/16/00
Culture of Fear Revisited,Frank Furedi,3.52,12/26/06
GraceLand,Chris Abani,3.78,01/26/05
Raised on Rock: Growing Up at Graceland,David Stanley/Mark Bego,2.75,12/01/31
The White Widow,Jim Lehrer,3.04,05/19/00
The Franklin Affair,Jim Lehrer,3.12,06/13/06
Short List (One-Eyed Mack  #5),Jim Lehrer,4.09,02/06/92
Fine Lines (One-Eyed Mack  #6),Jim Lehrer,3.23,11/19/95
Kick the Can (One-Eyed Mack  #1),Jim Lehrer,3.85,08/01/97
Strangers from a Different Shore: A History of Asian Americans,Ronald Takaki,4.13,09/23/98
La chute,Albert Camus,4.04,01/11/99
Syrup,Max Barry,3.88,07/01/00
Maple Syrup Cookbook: Over 100 Recipes For Breakfast  Lunch & Dinner,Ken Haedrich,3.81,09/01/01
The Red Tent,Anita Diamant,4.17,08/21/07
Metaconcert (Intervention  #2),Julian May,4.21,01/13/89
Surveillance (Intervention  #1),Julian May,4.19,11/13/88
The Adversary (Saga of Pliocene Exile  #4),Julian May,4.22,09/12/87
Magnificat (Galactic Milieu Trilogy  #3),Julian May,4.21,04/20/11
The Sagittarius Whorl (Rampart Worlds #3),Julian May,3.75,01/02/01
Maison Ikkoku  Volume 7 (Maison Ikkoku  #7),Rumiko Takahashi,4.24,10/26/04
Ranma 1/2  Vol. 8 (Ranma ½ (US 2nd)  #8),Rumiko Takahashi,4.15,01/07/04
Maison Ikkoku  Volume 8 (Maison Ikkoku  #8),Rumiko Takahashi,4.23,11/01/04
The Echo Maker,Richard Powers,3.38,08/21/07
Afterglow: A Last Conversation With Pauline Kael,Francis Davis/Pauline Kael,3.69,08/21/03
For Keeps: 30 Years at the Movies,Pauline Kael,4.48,09/01/96
Hooked: Film Writings 1985-1988,Pauline Kael,4.05,07/01/90
Flirting With Danger (Samantha Jellicoe  #1),Suzanne Enoch,3.93,03/01/05
Flirting with Danger,Linda Turner,3.57,12/01/89
Flirting With Danger,Kate Walker,3,06/01/96
As Nature Made Him: The Boy Who Was Raised as a Girl,John Colapinto,3.97,02/20/01
The Serial Killers Club,Jeff Povey,3.22,06/22/06
The Savage Wars Of Peace: Soldiers' Voices 1945-1989,Charles Allen,4.5,10/01/90
Dark Water (Fog Point  #1),Linda Hall,3.66,04/18/06
The Outlaws of Sherwood,Robin McKinley,3.77,10/04/05
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05,06/30/93
Spindle's End,Robin McKinley,3.81,04/03/03
Imaginary Lands,Robin McKinley/James P. Blaylock/Patricia A. McKillip/Robert Westall/Peter Dickinson/Jane Yolen/P.C. Hodgell/Michael de Larrabetti/Joan D. Vinge,3.59,03/26/87
Beauty,Robin McKinley,4.05,09/29/83
The Hero and the Crown (Damar  #2),Robin McKinley,4.21,02/01/85
Hitty  Her First Hundred Years,Rachel Field/Dorothy P. Lathrop,3.86,09/01/98
Rachel Field's Hitty: Her First Hundred Years,Rosemary Wells/Susan Jeffers/Rachel Field,4,10/01/99
Voting Rights Days (Hitty's Travels  #3),Ellen Weiss/Betina Ogden,4.27,03/01/02
A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel/Charles Dickens,4.36,01/01/05
Moon in a Dewdrop: Writings of Zen Master Dogen,Dōgen/Kazuaki Tanahashi/Robert Aitken/Reb Anderson/Edward G. Brown/Norman Fischer/Arnold Kotler/Daniel Leighton/Lew Richmond/Katherine Thanas/Brian Unger/Mel Weitsman/Dan Welch/Philip Whalen/David    Schneider,4.28,10/31/95
Dewdrops on a Lotus Leaf: Zen Poems of Ryokan,Ryōkan/John   Stevens,4.58,04/13/04
A Green Desire,Anton Myrer/Alastair Westgarth,3.73,12/04/01
The Big War,Anton Myrer,3.85,12/04/01
I Heard That Song Before,Mary Higgins Clark,3.82,04/03/07
Santa Cruise: A Holiday Mystery at Sea,Mary Higgins Clark/Carol Higgins Clark,3.41,11/14/06
No Place Like Home,Mary Higgins Clark,3.87,04/01/06
Ghost Ship: A Cape Cod Story,Mary Higgins Clark/Wendell Minor,3.73,04/03/07
Deck the Halls,Mary Higgins Clark/Carol Higgins Clark,3.61,10/01/01
On the Street Where You Live,Mary Higgins Clark/Karin Dufner,3.87,04/01/02
Silent Night: The Remarkable Christmas Truce of 1914,Stanley Weintraub,3.6,10/30/01
Nighttime Is My Time,Mary Higgins Clark,3.82,04/06/04
Watchfiends and Rack Screams: Works from the Final Period,Antonin Artaud/Bernard Bador/Clayton Eshleman,4.25,02/01/04
Inside My Heart: Choosing to Live with Passion and Purpose,Robin McGraw,3.62,09/12/06
Lord John and the Brotherhood of the Blade  (Lord John Grey  #2),Diana Gabaldon,3.91,08/28/07
How to Stop Worrying and Start Living,Dale Carnegie,4.12,05/23/90
Andrew Carnegie and the Rise of Big Business (Library of American Biography Series),Harold C. Livesay,3.25,03/01/06
How to Develop Self-Confidence and Influence People by Public Speaking,Dale Carnegie,4.14,03/29/90
The Autobiography of Andrew Carnegie and the Gospel of Wealth,Andrew Carnegie/Gordon Hutner,3.98,11/07/06
Love in the Time of Cholera,Gabriel García Márquez/Edith Grossman,3.91,05/01/89
A Fan's Notes,Frederick Exley/Jonathan Yardley,4.08,08/05/97
My Soul to Keep (African Immortals  #1),Tananarive Due,4.17,04/08/98
Joplin's Ghost,Tananarive Due,3.91,09/19/06
The Living Blood (African Immortals  #2),Tananarive Due,4.34,01/01/02
The Good House,Tananarive Due,3.94,12/01/06
The Prestige,Christopher Priest,3.89,10/03/06
The Mammoth Book of Storms  Shipwrecks and Sea Disasters,Richard Russell Lawrence,3.57,10/04/04
The Stones of Summer,Dow Mossman,3.15,02/24/04
The Summer House,Jean Stone,3.89,04/04/00
Peek-a-Boo! (Babyfaces),Roberta Grobel Intrater,3.69,10/01/97
The Handmaid's Tale,Margaret Atwood,4.11,09/19/06
The BFG: A Set of Plays,Roald Dahl/David Wood,4.26,02/01/07
Science Notebooks: Writing about Inquiry,Lori Fulton/Brian Campbell/Linda Gregg,3.64,07/02/03
Interviews with John Kenneth Galbraith (Conversations with Public Intellectuals),John Kenneth Galbraith/James Ronald Stanfield/J. Ron Stanfield/Jacqueline Bloom Stanfield,4.5,02/20/04
The Economics of Innocent Fraud: Truth for Our Time,John Kenneth Galbraith,3.6,04/26/04
Robin Williams Web Design Workshop,Robin P. Williams/John Tollett/Dave Rohr,3.8,08/04/01
The Non-Designer's Web Book,Robin P. Williams/John Tollett,3.66,09/26/05
Hard Drive: Bill Gates and the Making of the Microsoft Empire,James Wallace/Jim  Erickson,4.11,03/26/93
Bill Gates: Computer Legend (Famous Lives),Sara Barton-Wood,5,11/01/01
Chicken Trek,Stephen Manes,4.39,07/01/89
Make Four Million Dollars by Next Thursday!,Stephen Manes/George Ulrich,3.68,07/08/96
Slim Down Camp,Stephen Manes,3.9,12/01/86
The Boy Who Turned Into a TV Set,Stephen Manes/Michael  Bass,4,02/01/84
Masters of Enterprise: Giants of American Business from John Jacob Astor and J.P. Morgan to Bill Gates and Oprah Winfrey,H.W. Brands,4,06/07/99
The Devil in the Junior League,Linda Francis Lee,3.62,08/22/06
Prom Anonymous,Blake Nelson,3.42,02/15/07
The New Rules of High School,Blake Nelson,3.54,09/09/04
Cool Girl,Blake Nelson/Hans Schumacher,3.76,12/01/00
They Came from Below,Blake Nelson,3.66,06/26/07
User,Blake Nelson,3.37,07/15/03
Exile,Blake Nelson/Francine Kass,3.15,06/11/97
Girl (Girl  #1),Blake Nelson,3.76,09/13/94
My Side of the Mountain (Mountain  #1),Jean Craighead George,4.06,04/12/04
The Theban Plays: Oedipus Rex  Oedipus at Colonus & Antigone,Sophocles/George      Young,3.97,06/23/06
The Jungle,Upton Sinclair/Earl Lee/Kathleen DeGrave,3.74,04/01/03
The Jungle Books,Rudyard Kipling/Alev Lytle Croutier,4.02,05/03/05
Human Croquet,Kate Atkinson,3.72,11/12/99
The Key to Rebecca,Ken Follett/Arto Häilä,3.89,02/04/03
Paper Money,Ken Follett,3.32,03/01/96
Skeleton Coast (Oregon Files  #4),Clive Cussler/Jack Du Brul,4.12,10/03/06
Dragon (Dirk Pitt  #10),Clive Cussler,3.92,10/31/06
Dark Watch (Oregon Files  #3),Clive Cussler/Jack Du Brul,4.1,10/31/05
Black Wind (Dirk Pitt  #18),Clive Cussler/Dirk Cussler,3.86,06/06/06
Cyclops (Dirk Pitt  #8),Clive Cussler,3.87,12/01/86
Deep Six (Dirk Pitt  #7),Clive Cussler,3.9,01/01/06
Polar Shift (NUMA Files  #6),Clive Cussler/Paul Kemprecos,3.91,08/30/05
Vixen 03 (Dirk Pitt  #5),Clive Cussler,3.84,07/25/06
The Mediterranean Caper (Dirk Pitt  #2),Clive Cussler,3.78,04/06/04
The Navigator (NUMA Files  #7),Clive Cussler/Paul Kemprecos,3.94,06/05/07
Golden Buddha (Oregon Files  #1),Clive Cussler/Craig Dirgo,3.9,03/24/05
Shock Wave (Dirk Pitt  #13),Clive Cussler,4.02,01/01/96
Raise the Titanic! (Dirk Pitt  #4),Clive Cussler,3.98,02/03/04
Atlantis Found (Dirk Pitt  #15),Clive Cussler,3.99,10/26/04
Muerte Blanca,Clive Cussler/Paul Kemprecos,3.91,09/06/05
Iceberg (Dirk Pitt  #3),Clive Cussler,3.85,03/02/04
Fire Ice (NUMA Files  #3),Clive Cussler/Paul Kemprecos,3.92,06/03/02
Lost City (NUMA Files  #5),Clive Cussler/Paul Kemprecos,3.9,07/26/05
The Sea Hunters II (The Sea Hunters  #2),Clive Cussler/Craig Dirgo,3.85,12/30/03
The Sea Hunters (The Sea Hunters #1),Clive Cussler/Craig Dirgo,3.82,09/01/03
La Ciudad Perdida (NUMA Files  #5),Clive Cussler/Paul Kemprecos,3.9,11/07/06
Sahara (Dirk Pitt  #11),Clive Cussler,3.96,01/11/05
Clive Cussler and Dirk Pitt Revealed,Clive Cussler/Craig Dirgo,3.88,10/01/98
Cliffs Notes on Billy Budd & Typee,Mary Ellen Snodgrass,3.5,01/24/03
Billy Budd  Sailor,Herman Melville,3.12,10/24/95
Billy Budd  Sailor,Herman Melville,3.12,03/01/99
Billy Budd  Sailor and Other Uncompleted Writings: The Writings of Herman Melville  Volume 13,Herman Melville/Hershel Parker/G. Thomas Tanselle/Harrison Hayford/Robert Sandberg/Alma MacDougall Reising,3.11,09/15/17
Billy Budd  marin,Herman Melville,3.12,05/14/87
The Elections of 2004,Michael Nelson,4,03/15/05
Love Sick: A Smoldering Look at Love  Lust  and Marriage,Michael J. Nelson/Charles S. Anderson Design Company/Pop Ink,3.76,09/01/05
Goth-Icky: A Macabre Menagerie of Morbid Monstrosities,Michael J. Nelson/Charles S. Anderson Design Company/Pop Ink,3.65,09/01/05
Fluffy Humpy Poopy Puppy: A Ruff  Dog-Eared Look at Man's Best Friend,Michael J. Nelson/Pop Ink/Charles S. Anderson Design Company,4,09/01/06
Mike Nelson's Death Rat!,Michael J. Nelson,3.66,04/15/03
Joel on Software,Joel Spolsky,4.11,10/28/04
Hackers & Painters: Big Ideas from the Computer Age,Paul Graham/Allen Noren/Matt Hutchinson,4.05,05/25/04
I  Robot (Robot  #0.1),Isaac Asimov,4.19,06/01/04
